Admin | Email: carlos.admin@proaula.com | Contraseña: Admin123!
Admin | Email: maria.admin@proaula.com | Contraseña: Admin123!
Admin | Email: pedro.admin@proaula.com | Contraseña: Admin123!
Admin | Email: anamaria.admin@proaula.com | Contraseña: Admin123!
Admin | Email: luis.admin@proaula.com | Contraseña: Admin123!
User | Email: andres.user@proaula.com | Contraseña: User1234!
User | Email: laura.user@proaula.com | Contraseña: User1234!
User | Email: carlos.user@proaula.com | Contraseña: User1234!
Cliente | Email: juan.perez@gmail.com | Contraseña: Client123!
Cliente | Email: ana.gomez@gmail.com | Contraseña: Client123!
Cliente | Email: roberto.hernandez@hotmail.com | Contraseña: Client123!
Cliente | Email: carolina.diaz@yahoo.com | Contraseña: Client123!
Cliente | Email: miguel.torres@outlook.com | Contraseña: Client123!
Cliente | Email: valentina.morales@gmail.com | Contraseña: Client123!
Cliente | Email: santiago.ramirez@gmail.com | Contraseña: Client123!
Cliente | Email: isabella.vargas@gmail.com | Contraseña: Client123!
